scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,355.8080596923828,132.94761925935745,1.0,360.6528675556183,132.89285695552826,0.010504449717700481,235.28711032867432,70.11486458778381,1.0,441.4297332763672,119.38250684738159,1.0,198.37909626960754,242.19277048110962,1.0
53,357.21197950839996,134.95808124542236,1.0,361.0352129936218,134.45387029647827,0.012258773669600487,235.90576250851154,67.48829412460327,1.0,441.25293827056885,119.98701286315918,1.0,198.51178860664368,242.0672745704651,1.0
54,357.1255931854248,136.25603675842285,1.0,360.59295129776,135.37384867668152,0.0043731979094445705,238.21259331703186,63.66565418243408,1.0,441.09732818603516,119.7149863243103,1.0,198.98470902442932,242.2118935585022,1.0
55,356.78256541490555,136.9004340171814,1.0,359.88826036453247,135.7437014579773,0.001695373677648604,243.6744899749756,60.63934952020645,1.0,441.81358575820923,119.21713161468506,1.0,198.56449508666992,242.3000431060791,1.0
56,356.4810850918293,138.27309322357178,1.0,359.8002290725708,136.63776636123657,0.003287550061941147,245.04601991176605,58.53397226333618,1.0,441.57386922836304,119.88884854316711,1.0,203.7688490152359,241.89088439941406,1.0
57,355.99743643566035,139.24666118621826,1.0,359.41655111312866,137.45607662200928,0.0023261462338268757,248.9320855140686,55.967028856277466,1.0,440.2002868652344,119.78348398208618,1.0,202.10116338729858,242.11138343811035,1.0
58,355.75266440212727,140.80493831634521,1.0,359.56546545028687,138.7730712890625,0.0002691581903491169,245.92494130134583,57.17810583114624,1.0,440.9891152381897,120.33783197402954,1.0,218.75085616111755,243.12784337997437,1.0
59,355.7088975906372,142.05781888961792,1.0,360.8389093875885,145.13389778137207,0.00044684024760499597,244.01472040917724,75.57474613189697,1.0,438.8645565509796,118.94198870658875,1.0,238.8148889541626,242.97879600524902,1.0
60,355.8519233763218,143.75074934959412,1.0,361.48537278175354,146.24065923690796,0.00025982203078456223,232.0776562690735,93.24506950378418,1.0,440.46584939956665,119.62912607192993,1.0,238.4474720954895,243.41133868694305,0.004826159216463566
61,355.9751553852111,145.63916730880737,1.0,361.30157136917114,147.2217013835907,0.0028862443286925554,225.04144048690796,101.05545425415039,1.0,446.676460981369,123.50918340682983,1.0,207.51200127601624,245.13679218292236,0.6589524149894714
62,355.195436000824,149.73431766033173,1.0,359.9756021499634,148.29630851745605,0.001590822939760983,203.81143955886364,119.77961444854736,1.0,439.02504229545593,120.98459768295288,1.0,220.41040739417076,242.31316757202148,0.9999754428863525
